season,episode,airdate,hosts,youtube_id, view_count,like_count,dislike_count,title,year,imdb_id,imdb_rating,runtime,imdb_cast,imdb_votes,oscar_winner,gregg_popcorn,gregg_oscar,tim_popcorn,tim_oscar
2,3,2/21/2013,Gregg Turkington|Tim Heidecker|Joe Estevez,MMTsSMttjdI,168264,1533,24,Snitch,2013,0882977,6.4,112,Dwayne Johnson|Barry Pepper|Jon Bernthal|Susan Sarandon|Michael Kenneth Williams,82520,False,5,False,4,False
2,3,2/21/2013,Gregg Turkington|Tim Heidecker|Joe Estevez,MMTsSMttjdI,168264,1533,24,Dark Skies,2013,2387433,6.3,97,Keri Russell|Josh Hamilton|Dakota Goyo|Kadan Rockett|J.K. Simmons,70505,False,5,False,3,False
2,4,2/28/2013,Gregg Turkington|Tim Heidecker,LjVTxxFNeQY,148684,1159,17,21 & Over,2013,1711425,5.8,93,Miles Teller|Skylar Astin|Justin Chon|Sarah Wright|Jonathan Keltz,71648,False,5,False,5,False
2,4,2/28/2013,Gregg Turkington|Tim Heidecker,LjVTxxFNeQY,148684,1159,17,Jack the Giant Slayer,2013,1351685,6.2,114,Nicholas Hoult|Eleanor Tomlinson|Ewan McGregor|Stanley Tucci|Eddie Marsan,130762,False,5,False,6,False
2,5,3/7/2013,Gregg Turkington|Tim Heidecker,JhcGWg7aV0w,156529,1342,14,Oz the Great and Powerful,2013,1623205,6.3,130,James Franco|Mila Kunis|Rachel Weisz|Michelle Williams|Zach Braff,198156,False,5,False,4,False
2,5,3/7/2013,Gregg Turkington|Tim Heidecker,JhcGWg7aV0w,156529,1342,14,Dead Man Down,2013,2101341,6.5,118,Colin Farrell|Noomi Rapace|Terrence Howard|Dominic Cooper|Isabelle Huppert,63592,False,5,False,5,True
2,6,3/14/2013,Gregg Turkington|Tim Heidecker,fah28oNAhT8,173070,1505,21,Carrie,2013,1939659,5.9,100,Julianne Moore|Chloë Grace Moretz|Gabriella Wilde|Portia Doubleday|Zoë Belkin,132408,False,5,False,4,False
2,6,3/14/2013,Gregg Turkington|Tim Heidecker,fah28oNAhT8,173070,1505,21,The Incredible Burt Wonderstone,2013,0790628,5.9,100,Steve Carell|Steve Buscemi|Olivia Wilde|Jim Carrey|James Gandolfini,70448,False,5,True,5,False
2,7,3/21/2013,Gregg Turkington|Tim Heidecker,XxJ7YQS8sos,163722,1437,7,The Croods,2013,0481499,7.2,98,Nicolas Cage|Emma Stone|Ryan Reynolds|Catherine Keener|Cloris Leachman,188758,False,5,False,5,False
2,8,3/28/2013,Ayaka Ohwaki|Gregg Turkington|Jimmy McNichol|Tim Heidecker,jFmz7t07i7w,146736,1078,18,G.I. Joe: Retaliation,2013,1583421,5.8,110,Dwayne Johnson|Jonathan Pryce|Lee Byung-Hun|Elodie Yung|Ray Stevenson,172198,False,NA,NA,5,False
